"id","area","module_or_feature","slug_or_entry","status","type","priority","when","current_state","problem_or_risk","recommended_action","solo_company_simplification","security_consideration","performance_consideration","evidence","depends_on","acceptance_criteria"
"PAY-010","积分","Billable operation","产品消费动作","未完成","产品集成","P1","启用 credits 后","底层幂等结算能力存在，但没有产品域调用者，因为产品模块为空","若维持当前状态，将无法证明：相同业务动作重试只扣一次，失败不丢余额且有对账记录","在真实域动作中定义 operation type、幂等键、预留/确认/失败补偿和用户可见结果","每种收费动作只建一个结算入口，不在各 route 重复扣余额","服务端校验资源所有权、成本与幂等键，客户端不能提交任意扣减额","耗时计算与结算解耦；避免长事务持锁","apps/server/src/credits; apps/server/src/modules/index.ts","PROD-003 和 PAY-008","相同业务动作重试只扣一次，失败不丢余额且有对账记录"
"PAY-011","支付","购买历史","/purchases","条件未完成","功能边界","P2","启用 billing 或 creditPurchases 前","路由会在两种购买能力都关闭时跳回 dashboard，但开启任一能力后可能混合展示订阅、终身购买与积分订单","若维持当前状态，将无法证明：用户只能看到自己的有界历史，状态与 provider 一致，关闭时无可访问入口","根据唯一商业模型定义列表字段、状态、收据和退款入口；关闭时物理省略导航","只有一种销售模型时只显示一种记录，不做通用交易中心","只能返回当前用户记录；provider receipt URL 必须来自可信存储并限制目标 host","使用分页和按需详情，避免每次加载全部历史","apps/web/src/routes/_authed/(dashboard)/purchases.tsx; apps/web/src/components/dashboard/purchases-page.tsx","PAY-003","用户只能看到自己的有界历史，状态与 provider 一致，关闭时无可访问入口"
"PAY-012","支付","结账返回页","/billing/success; /billing/cancel","已实现待复核","异步体验","P1","首次真实结账前","success 页最多轮询 60 秒并等待 webhook 权益同步，cancel 返回设置或 dashboard；不会直接授予权益","若维持当前状态，将无法证明：慢 webhook、重复事件、取消和手动刷新均有清晰结果且不会错误授权","用真实 webhook 延迟验证文案、超时、刷新和重复打开；禁用 billing 时重定向安全页面","保留一个通用成功/取消页，不按 plan 建多套 landing","查询参数只能用于期望状态展示，不能决定权限；继续依赖服务端权益","3 秒轮询、60 秒上限目前合理，流量后再用退避或事件推送优化","apps/web/src/routes/billing/success.tsx; apps/web/src/routes/billing/cancel.tsx","PAY-006","慢 webhook、重复事件、取消和手动刷新均有清晰结果且不会错误授权"
"STORE-001","存储","头像存储","/api/storage/*; /settings/profile","条件未完成","功能采用","P1","启用 storage 前","现有公开存储路由主要服务头像，使用受限 key 前缀；storage 默认关闭","若维持当前状态，将无法证明：未授权用户不能改删他人头像，替换头像不会遗留无主对象","若只需头像，保留这条窄路径并完善替换清理；若无需上传则继续关闭","不要仅为头像引入通用资产后台和文件管理器","校验 MIME、魔数、大小、所有权和随机 key；公开 URL 不承担私有授权","唯一版本 key 可设置更长 immutable cache，并限制图片尺寸","apps/server/src/storage; packages/app-config/src/product-storage-config.ts","Profile 和头像需求","未授权用户不能改删他人头像，替换头像不会遗留无主对象"
"STORE-002","存储","Asset Service","apps/server/src/modules/assets","默认休眠","未接入基础能力","P2","出现产品文件前","asset 表、repository 与 service 是完整但未挂入 runtime router 的可选基础能力；当前头像路径不依赖它","现在强行接入会为没有产品文件的首发增加第二套文件授权语义；未来若直接凭 raw key 下载又会绕过资产所有权","母模板保持休眠；首个确需私有附件或生成结果的下游再通过 assetId 接入并补有界列表与授权测试","只有头像时不要接入第二套资产语义；产品文件出现后再迁移到 Asset Service","不得把 raw storage key 当公开授权；下载需检查 visibility 与 owner","列表必须分页；大文件上传走直接上传或分片，不经 RPC JSON body","apps/server/src/modules/assets; apps/server/src/db/schema/assets.ts; apps/server/src/modules/index.ts","产品文件需求","产品文件通过 assetId 授权，私有对象不能仅凭 key 访问"
"STORE-003","存储","对象与元数据一致性","deleteAsset","潜在隐患","数据一致性","P1","明确启用 Asset Service 前","删除流程先删对象再删 D1 元数据，第二步失败会留下指向不存在对象的记录","若维持当前状态，将无法证明：任一步骤失败可重试，最终无悬空元数据或无主对象","当前保持 Assets 休眠；决定接入时先增加可重试删除状态或 reconciliation，再开放产品文件删除入口","低规模可用软删除加每日清理，不需要分布式事务框架","清理器仍需校验租户/owner，修复动作写审计","批量清理和分页扫描，避免一次全表操作","apps/server/src/modules/assets/service.ts; apps/server/src/modules/assets/repository.ts","STORE-002 被明确启用","任一步骤失败可重试，最终无悬空元数据或无主对象"
"JOB-001","异步任务","Jobs/Queue/DLQ","Queue bindings; scheduled handlers","待抉择","收费可靠性","P0","选择收款方式时","Jobs 包含 D1 状态、Queue、DLQ、outbox、恢复与 Cron；自动支付权益与 AI 生成需要它，纯支付链接加人工交付不一定需要","若维持当前状态，将无法证明：人工收费站无多余 Queue；自动收费或生成站重复投递不产生重复副作用","自动 billing、credits 或异步生成默认保留 jobs；只有完全人工交付且没有异步产品任务时才关闭","收费是默认，但实现可以分级：人工订单不必先建 Queue，自动权益则绝不能删 outbox/幂等","handler 必须幂等，DLQ 重放受管理员授权并审计","监控 backlog、失败率和每分钟 Cron 成本后再调 batch 与频率","apps/server/src/modules/jobs; apps/server/wrangler.jsonc; packages/app-config/src/profile-definitions.ts","PROD-002 和产品交付方式","人工收费站无多余 Queue；自动收费或生成站重复投递不产生重复副作用"
"JOB-002","异步任务","每分钟恢复 Cron","* * * * *","性能机会","成本与 SLA","P2","上线观察后","支付/outbox/recovery 使用每分钟调度，低流量站点可能产生相对高的空跑日志与调用","若维持当前状态，将无法证明：恢复延迟满足 SLA，空跑成本可接受且无积压","先定义允许的恢复延迟，再用生产指标决定保持每分钟或适度降低频率","人工订单站可关闭 jobs；自动权益或 AI 生成站宁可先保守保持一分钟","降低频率会延长故障恢复，不能影响 webhook 安全与幂等","减少空调用与日志成本；调整前记录 backlog SLA","apps/server/wrangler.jsonc; apps/server/src/worker/create-worker-handlers.ts","JOB-001 和流量指标","恢复延迟满足 SLA，空跑成本可接受且无积压"
"JOB-003","异步任务","Queue batch size","主 Queue max_batch_size=1；DLQ max_batch_size=10","性能机会","吞吐","P3","出现积压后","主 Job Queue 单消息批次便于隔离和重试；DLQ 已使用批次 10，当前没有生产积压证据要求调整","若维持当前状态，将无法证明：无积压则不改；改动后吞吐提升且单消息失败可隔离","保持 1 直到监控显示 backlog；再按 handler 隔离性做小批次实验","单人低流量无需优化","批处理失败边界必须清晰，不能让一条恶意消息反复阻塞整批","依据吞吐与 CPU 时间调优，不凭感觉放大","apps/server/wrangler.jsonc; apps/server/src/modules/jobs/job.worker.ts","生产队列指标","无积压则不改；改动后吞吐提升且单消息失败可隔离"
"TICKET-001","支持","Tickets 模块","/tickets; /tickets/$ticketId; /admin/support/*","默认关闭","过度复杂","P1","只有邮箱支持不足时再决策","完整站内工单和管理员回复已实现，但默认关闭，单人维护与邮箱支持重复","误启用会带来收件箱、通知、状态、分页和权限维护，且关闭时必须保证无导航与 runtime namespace","首发明确保持 Tickets 关闭，以 support email 为唯一支持渠道；只有出现登录态历史和状态跟踪的真实需求再立项启用","不要为休眠模块补 outbox、分页或 i18n；真实需求出现后整体评审","未来启用时所有 detail/reply 必须校验 owner 或 admin，公开提交做全局限流","未来启用时列表和消息必须分页，避免长工单无限增长","apps/server/src/modules/tickets/router.ts; apps/web/src/routes/_authed/(dashboard)/tickets; apps/web/src/routes/_authed/(dashboard)/admin/support","邮箱支持量证据","当前关闭时无导航与 runtime namespace；未来启用前重新完成权限、通知和分页评审"
"TICKET-002","支持","工单回复与邮件通知","reply; adminReply","潜在隐患","一致性","P1","启用 tickets 前","管理员回复先写数据库再同步发邮件；邮件失败可能导致请求报错、审计遗漏或人工重试重复回复","若维持当前状态，将无法证明：重复请求不重复插入回复，邮件失败不回滚已提交事实且可重试","将通知变为持久化 outbox/Job，或至少在提交与审计后 best-effort 发送并记录通知失败；增加 reply 幂等键","若不愿维护 outbox，就保持 tickets 关闭并只用邮箱","邮件内容转义且不泄露其他工单；管理员动作审计","异步邮件降低 API 延迟与 provider 波动影响","apps/server/src/modules/tickets/router.ts","TICKET-001 和 JOB-001","重复请求不重复插入回复，邮件失败不回滚已提交事实且可重试"
"TICKET-003","支持","工单分页","admin list; ticket messages","性能机会","查询规模","P2","启用 tickets 前","管理员列表和详情消息存在不受限全量读取风险","若维持当前状态，将无法证明：大量工单或长对话仍为有界查询，翻页无重复或遗漏","增加 cursor pagination、稳定排序和合理 page size","低量也做最小 cursor，避免之后改 API 形状","列表输出继续限制为允许字段，不暴露内部备注","为 owner/status/createdAt 和 ticketId/createdAt 查询路径核对索引","apps/server/src/modules/tickets/router.ts; apps/server/src/db/schema/tickets.ts","TICKET-001","大量工单或长对话仍为有界查询，翻页无重复或遗漏"
"TICKET-004","支持","工单文案 i18n","tickets 与 admin support","随模块延期","体验一致性","P2","启用 tickets 前","Tickets 默认关闭且首发只发布英文；其用户与管理员组件仍有硬编码英文，未来启用或恢复多语言前需要集中处理","现在翻译关闭模块会增加无收益维护；未来直接启用则会让可见文案绕过消息事实源","首发不处理；只有明确启用 Tickets 时再把用户可见状态、按钮、错误和邮件文案收进英文消息，再决定第二语言","保持 Tickets 关闭并使用 support email，不为休眠模块维护三语","错误文案不要区分无权限与不存在而泄露资源存在性","无显著性能影响","apps/web/src/routes/_authed/(dashboard)/tickets; apps/web/src/routes/_authed/(dashboard)/admin/support; packages/i18n","TICKET-001 被明确启用","关闭时无 Tickets 导航和运行时 namespace；启用评审前用户可见文案已进入当前发布语言的消息源"
"ADMIN-001","后台","后台信息架构","/admin; /admin/analytics; /admin/users; /admin/payments; /admin/audit; /admin/system","待裁剪","单人运维","P1","产品后台定稿前","模板提供只读概览、D1 业务 KPI、用户、支付运维、审计与系统状态；供应商 dashboard 负责流量和 provider 侧事实，两者部分互补","若维持当前状态，将无法证明：后台导航仅出现可执行的页面，首页查询有界且无敏感配置","按真实日常动作保留 Overview、Audit、D1 Analytics 与启用支付后的故障处理入口；隐藏无能力支撑的页面，不建自定义 BI","单人公司不需要自建完整 BI；流量、收入优先看 Cloudflare 和支付商后台","所有入口继续服务端鉴权；系统页不展示 secret、完整 token 或内部绑定值","不常用统计按需加载并设置时间范围，不在首页做全表聚合","apps/web/src/routes/_authed/(dashboard)/admin; apps/server/src/routers/admin","Profile 和运维流程","后台导航仅出现可执行的页面，首页查询有界且无敏感配置"
"ADMIN-002","后台","Analytics","/admin/analytics","已实现待采用","业务运营指标","P2","首次真实数据进入后","内建 Analytics 聚合订阅、积分与 Job 失败率等 D1 业务事实，和 Cloudflare/OpenPanel 的流量指标、支付商的 provider 事实互补","误删会失去跨模块的应用内运营视图；无限扩展又会演变成一人公司不需要的数据仓库","保留当前小型 D1 KPI 页并只维护能触发行动的指标；流量、漏斗和 provider 收入继续看对应供应商 dashboard","保留这一页，不建 ETL、数据仓库或通用报表设计器","分析查询只允许管理员且不返回不必要 PII","所有聚合强制时间范围、索引和分页，避免 D1 全表扫描","apps/web/src/routes/_authed/(dashboard)/admin/analytics.tsx; apps/server/src/modules/control-read/read-models.ts","真实业务数据和指标所有者","每个 D1 KPI 对应明确运维动作且查询有界；页面不复制流量平台或支付商完整报表"
"ADMIN-003","后台","Integrations 兼容 slug","/admin/integrations -> /admin/system","需清理","路由兼容","P3","公开模板文档整理时","旧 integrations slug 仅重定向 system，名称和信息架构可能继续误导","若维持当前状态，将无法证明：导航与当前文档只使用 /admin/system，旧链接安全到达","保留一版兼容重定向并从导航、文档移除旧名；新下游无需长期承诺此 slug","没有外部书签的新站点可直接只保留 system","重定向目标仍需 admin guard，不能在守卫前泄露页面存在","永久重定向避免重复渲染，但私有路由无需 SEO 迁移链","apps/web/src/routes/_authed/(dashboard)/admin/integrations.tsx","后台 IA","导航与当前文档只使用 /admin/system，旧链接安全到达"
"CTRL-001","控制面","ControlRead","CONTROL_READ_HOST; service binding","默认关闭","过度复杂","P1","只有出现明确中央控制需求时再决策","已有专用 host、Cloudflare Access JWT 与 service binding 读取面，和本地 Admin read model 部分重复","误配置或提前扩展会增加跨站授权、字段治理与运维面；当前必须保证未配置时没有公开入口","保持 host/binding 未配置且不扩展；真正出现跨站只读需求时再按最小字段立项启用","单人维护多个小站先用各站后台和供应商 dashboard，不建中央 control plane","未来启用时强制 Access audience/issuer 校验、最小返回字段、只读与审计","未来中央聚合需分页、时间界限和缓存；否则会放大每站 D1 查询","apps/server/src/modules/control-read; apps/server/src/index.ts; apps/server/wrangler.jsonc","真实跨站运维痛点","当前未配置时无公开入口；未来配置后无 Access token 无法读取且只返回允许字段"
"MOBILE-001","移动端","Mobile 整体范围","optional/mobile","默认关闭","范围关闭","P3","只有产品明确需要原生能力时重开","optional/mobile 是完整的 opt-in Expo 应用代码，默认不在核心 workspace 安装，mobile feature 与官方 Profiles 均为 false","把它误判为空壳并逐项删除会破坏未来可选能力；把它纳入默认工作又会增加与 Web 首发无关的依赖和商店运维","保持完整可选目录冻结且默认关闭；只有明确的原生产品需求才安装 optional workspace 并重新做配置、安全和商店审核","用响应式 Web/PWA 覆盖默认需求，原生 App 作为独立产品决策而非日常模板 TODO","未构建 mobile 时 EXPO_PUBLIC 占位不会进入生产客户端；一旦重开必须重新做完整安全审计","不安装 optional workspace，避免依赖、Pods/Gradle、商店和升级成本","packages/app-config/src/product-config.ts; packages/app-config/src/profile-definitions.ts; pnpm-workspace.yaml; optional/mobile","明确的原生产品需求","默认采用记录 mobile=false，未启用项目的计划中不出现原生子任务"
"OPS-001","可观测性","请求日志","所有 /api 与 /rpc","已实现待调优","成本与隐私","P2","上线有流量后","Server 记录 method、c.req.path、status 与 durationMs；c.req.path 不含 query string，当前不记录 cookie、Authorization 或正文","低风险敏感查询泄露判断已排除；真实剩余风险是全量 info 日志在高频流量下淹没配额和错误信号","低流量先保留；有真实日志量后再对健康检查和高频成功请求采样，支付错误与关联 ID 保留","小站先用 Cloudflare 基础日志，不搭建 ELK/复杂 tracing","不得记录 cookie、Authorization、表单正文、支付 payload 或用户 PII","采样可降低日志费用与 CPU；必须保留错误定位能力","apps/server/src/app/register-core-routes.ts; apps/server/wrangler.jsonc","生产流量与审计要求","敏感字段不入日志，错误可关联，正常高频请求不会淹没配额"
"OPS-002","性能","公共 RPC Context","public procedures","性能机会","数据库访问","P3","测到公共 API 压力后","createContext 每请求读取一次 auth session，并对已有 session 做一次 deletedAt 新鲜度复核；公共 procedure 也复用该统一 context","低流量下拆分 context 的复杂度高于收益；只有匿名公共 API 达到高 QPS 时额外 D1 读取才值得优化","只有 profiling 证明有收益时，为严格匿名公共 procedure 建轻量 context；保持 protected context 不变","低流量不用为省一次查询拆两套框架","不得让客户端把匿名 context 用于原本受保护 procedure","减少公共高 QPS 路径的 D1 读取和延迟","apps/server/src/lib/context.ts; apps/server/src/lib/orpc.ts","真实 tracing 和查询量","公共路径查询减少，所有 protected/admin 授权测试行为不变"
"OPS-003","性能","支付 provider bundle","Server Worker","需测量","Bundle 与冷启动","P3","确定唯一 provider 后","多个 provider adapter 在同一索引中导入，可能让未选 SDK 进入 Worker bundle，但尚无体积证据","若维持当前状态，将无法证明：未选 provider 不进入产物或产物已在预算内，支付行为不变","先用现有 bundle 分析脚本测量；只有超过预算才按构建 Profile 做静态 provider 入口","不要为了理论 tree-shaking 问题重写支付架构","裁剪不能改变 webhook 验签或 secret 分离","目标是 Worker gzip 和启动时间，不以源码 import 数为指标","apps/server/src/payments/providers; packages/app-config/src/payment-providers.ts; package.json","PAY-001 和测量结果","未选 provider 不进入产物或产物已在预算内，支付行为不变"
"OPS-004","性能","Docs 搜索初始化","/api/search","需复核","Bundle 与启动","P2","保持 docs 关闭时","搜索 route 在模块层引用 Orama/source；即使返回 404，也可能保留不必要依赖","若维持当前状态，将无法证明：docs=false 产物不初始化搜索索引；docs=true 搜索首请求与内存符合预算","让 docs=false 构建物理省略或动态导入搜索实现；先检查构建产物再改","关闭 Docs 的站点不需要全文搜索服务","搜索索引只能由受控公开内容生成","避免无 Docs 站点的索引内存和冷启动成本","apps/web/src/routes/api/search.ts; apps/web/vite.config.ts","WEB-009 和 bundle 测量","docs=false 产物不初始化搜索索引；docs=true 搜索首请求与内存符合预算"
"OPS-005","性能","无用 Web 依赖","@unpic/react 等","已完成待维护","依赖清理","P3","新增或替换 UI 组件时","全仓无引用的 Shadcn Studio 示例与孤立 chart 组件已删除，@unpic/react 和 recharts 已从直接依赖及 lockfile 移除；活跃 Tailark 定价代码保留","未来复制组件示例时可能重新带入未使用依赖或第三方模板品牌资源","新增 UI 前先复用现有组件；引入演示代码时只复制实际使用部分并检查依赖与外部资源","每个站点不要保留未采用的演示组件库扩展","移除前确认不是 Vite 插件或动态 import 使用","减少安装、dev prebundle 与升级面；生产收益以 bundle 为准","apps/web/src/components/landing-page; apps/web/package.json; apps/web/vite.config.ts; pnpm-lock.yaml","新增 UI 需求","现有直接依赖均有运行时调用；无 Shadcn Studio 示例、@unpic/react 或 recharts 残留"
"DOC-004","文档","Repo map 维护","docs/repo-map.md; docs/architecture-map.md","已完成待维护","维护流程","P2","每次边界变化后","已有人工维护的意图型 repo map 与关键 Mermaid，不使用 CodeGraph 快照","若维持当前状态，将无法证明：新成员或 AI 能从图定位入口、数据所有者和安全边界，图与源码抽查一致","边界变化时同步 repository-facts、repo map 和受影响序列图；普通功能改动不更新全图","不引入 CodeGraph 或自动 symbol dump，避免生成噪音和第二事实源","图中不得出现 secret、真实内部资源 ID 或生产个人邮箱","人工意图图比全量依赖图小；只保留能支持决策的节点","docs/repo-map.md; docs/architecture-map.md; template-kit/repository-facts.json","架构边界变化","新成员或 AI 能从图定位入口、数据所有者和安全边界，图与源码抽查一致"
"DOC-005","文档","测试规划工作流","需求计划文档","已完成待执行","工程流程","P1","每个非平凡需求","AGENTS 已要求计划阶段记录测试，先实现并 review 核心目标，再统一补测试；默认不自动运行测试/构建","若维持当前状态，将无法证明：计划含测试项，核心 review 有结论，必要测试已补；自动执行只在用户明确要求后发生","每个需求在 docs/plans 建测试计划、核心目标和验收条件；实现 review 通过后再补最小关键测试","不为 CRUD 和展示页预建大测试套件；钱、权限、迁移与幂等仍强制覆盖","测试延后不等于安全边界免测；收费、管理员和 webhook 必须在交付前具备聚焦测试","批量集中测试减少频繁重跑，但最终 gate 仍需显式执行","AGENTS.md; docs/plans/solo-paid-template-hardening.md","需求范围和用户是否授权执行","计划含测试项，核心 review 有结论，必要测试已补；自动执行只在用户明确要求后发生"
"DATA-001","数据库","可选能力表","payments、credits、tickets、assets、jobs","待抉择","数据面裁剪","P1","新下游建库前","母模板保留完整迁移历史，即使某 Profile 不启用所有表；直接删历史会破坏上游升级和已部署环境","若维持当前状态，将无法证明：迁移校验通过，历史不可变，禁用 namespace 无数据库访问","母模板不删 migration；全新下游按官方采用/ledger 规则只安装需要能力，已有库只做向前迁移","通过 Profile 关闭运行时能力比手工删表安全；不要为几张空表重写迁移系统","禁用模块也不能让遗留 HTTP 路由访问其表；敏感历史按保留策略处理","空表成本通常小，优先优化运行时查询而非追求表数量最少","apps/server/src/db/migrations; apps/server/src/db/schema; docs/migration-guide.md","Profile 与是否已有生产库","迁移校验通过，历史不可变，禁用 namespace 无数据库访问"
"DATA-002","数据库","后台列表分页","users、audit、payments、tickets","需复核","查询规模","P1","开放真实后台前","部分 read model 已分页；支付操作固定 limit 100 但无 cursor，tickets 列表和消息为无上限数组，聚合仍需逐项核对时间范围","若维持当前状态，将无法证明：任何单次请求均有明确最大行数和可解释查询计划","逐个管理员列表确认 cursor/limit、稳定排序、索引与最大日期范围","单人公司不需要导出全库；临时分析用受控只读工具而不是无限列表 API","管理员权限不能成为无限数据泄露许可，输出最小字段","所有列表查询有上限，聚合有时间窗口，避免 D1 CPU 超限","apps/server/src/routers/admin; apps/server/src/modules/control-read/read-models.ts; apps/server/src/modules/tickets/router.ts","后台保留页面","任何单次请求均有明确最大行数和可解释查询计划"
"DATA-003","数据库","D1 备份与恢复","Time Travel; wrangler d1 export","已写运行手册待生产采用","灾难恢复","P0","首个生产数据库上线前","仓库已有基于当前 Cloudflare 能力的单人运维手册：Time Travel 为主恢复手段，每周加密 SQL 导出保留 90 天，每季度在非生产环境演练恢复；尚未绑定具体账号计划、负责人记录和私有存储位置","只写手册不等于生产数据库已经受保护；未确认账号 Time Travel 保留期、导出位置和演练记录时，误删或错误迁移仍可能造成不可恢复损失","上线前在私有运维记录中确认 D1 计划与实际保留期、唯一负责人、加密导出位置和首次恢复演练日期；生产恢复仍需单独授权","不建备份平台或自动化工作流；先用 Cloudflare Time Travel 加低频加密导出和季度人工演练","导出可能包含个人信息和支付关联标识，必须加密、限制访问并按保留期删除；禁止把导出提交到仓库","D1 导出会阻塞数据库请求，应在低流量窗口执行；恢复演练只在隔离的非生产数据库进行","docs/d1-backup-recovery.md; docs/production-migrations.md","真实 Cloudflare 账号计划、生产 D1 标识和私有存储位置","私有运维记录明确负责人、实际 Time Travel 保留期、最近一次加密导出与非生产恢复演练结果"
